Price,KM
13500,46986
13750,72937
13950,41711
14950,48000
13750,38500
12950,61000
16900,94612
18600,75889
21500,19700
12950,71138
20950,31461
19950,43610
19600,32189
21500,23000
22500,34131
22000,18739
22750,34000
17950,21716
16750,25563
16950,64359
15950,67660
16950,43905
15950,56349
16950,32220
16250,25813
15950,28450
17495,34545
15750,41415
16950,44142
17950,11090
12950,9750
15750,35199
15950,29510
14950,32692
15500,41000
15750,43000
15950,25000
14950,10000
15750,25329
14750,27500
13950,49059
16750,44068
13950,46961
16950,110404
16950,100250
19000,84000
17950,79375
15800,75048
17950,72215
21950,64982
17950,62636
15750,57086
20500,56000
21950,49866
15500,49163
13250,45725
15250,43210
15250,43000
18950,39704
15999,38950
14950,37400
16500,37177
18750,36544
17950,33511
17950,32809
16950,32181
18950,30993
14950,30400
22250,30000
15950,29719
15950,29206
12995,29198
18950,28817
15750,28227
19950,28000
16950,28000
18750,25266
18450,23489
16895,22575
14900,22000
18950,20019
17250,20000
15450,17003
17950,16238
16650,15414
17450,8537
14900,7000
17950,66966
15950,51884
21950,50005
16450,48110
22250,37500
19950,34472
15950,33329
18900,31850
19950,30351
15950,29435
15950,25948
18750,24500
17450,23902
18990,23175
16250,19200
18500,18000
18500,16123
19450,14635
16950,13748
18800,11500
17450,10000
17950,7187
32500,1
31000,4000
31275,1500
24950,13253
24950,13253
22950,10000
24990,6000
21950,10841
17900,1
19250,63000
22250,57313
18950,57037
19950,51099
16350,40010
18950,39115
16950,36012
21750,36000
15950,36000
16500,35000
17950,33740
15850,33477
16250,32627
15950,29797
16250,29441
15950,29371
16500,29000
16500,27821
18450,27371
16250,25170
23000,25000
19900,23000
16450,22588
23950,21684
19950,21428
18500,20629
18950,20270
16450,20105
20500,20000
24500,19988
19450,18328
20950,17896
17200,17300
19950,17038
18450,13747
19500,13634
21750,13178
16868,13157
19500,13000
18900,12500
19750,11999
19750,11754
18950,11000
20750,10000
19600,7650
19500,6500
17650,6155
19950,6000
19950,5459
20950,5278
20500,5000
17795,1
18245,1
23750,11000
19500,10077
18950,10000
21950,9788
19950,8574
18950,7000
19950,6250
21950,5000
22500,3000
18500,2000
18700,450
21125,225
21500,15
17795,1
18245,1
6950,243000
9500,180638
11950,179860
7750,178858
11950,161000
4350,158320
4750,131273
11750,130062
13250,123425
11950,118217
11900,110000
14750,108847
9950,105699
11950,98823
11495,96829
11250,96518
10500,92204
10450,91456
12950,89968
11500,89757
12500,85389
10950,85017
11450,84312
11950,82743
13250,81106
14750,80425
11790,78677
11450,78425
13500,78108
10950,77321
13500,75699
10950,75697
10950,74846
12950,74319
11950,74285
12450,74172
11950,73042
14950,71793
12450,71200
12950,67805
11950,65988
11690,65345
12450,64564
12750,63459
11925,63451
12950,62000
11950,61300
12900,61200
11900,61000
11650,60829
10950,60500
13950,59500
13950,59000
11950,58954
10950,58798
12450,58363
11950,58277
13500,57711
11690,57269
13500,56001
11950,55968
12900,55678
13500,55539
11750,55400
11750,55350
10850,54600
11750,53773
14950,53719
9940,53644
12900,53350
13500,53000
11750,52084
11950,52000
13450,51945
11950,51732
12495,50873
13500,50856
12750,50640
12000,50000
11950,49500
12495,49332
12450,49291
14750,48952
10950,48945
13500,48928
12950,48197
13500,48052
13450,48011
13500,48000
11480,47350
13450,46821
11495,46694
12750,46515
14990,46327
12950,46304
12950,45886
12850,45713
13950,45600
11950,45287
12950,45081
11700,44830
9950,44757
11895,44218
12950,43632
12500,43427
13875,43254
10500,43000
12295,42823
13950,42560
10950,41754
12950,41499
12850,41339
13995,41000
13750,40000
12750,39757
12500,39659
13950,39650
11500,39524
13950,39516
11895,39439
9950,39000
13500,38932
11450,38812
12450,38665
12950,38653
13995,38461
11750,38078
11650,37782
9950,37576
13950,37533
12950,37389
10950,37320
9900,37000
11950,37000
11990,36566
10750,36269
13950,36074
11250,36066
12950,34599
11950,34000
10950,33623
12950,33591
12950,33258
11695,33113
11000,33000
13950,32941
11950,32781
11750,32532
12400,32431
12500,32000
12900,31000
12200,30989
12750,30742
11950,30190
11900,29716
11950,29716
14950,29640
11950,29056
12950,28715
14950,28571
13450,28362
13750,28150
12950,27301
12750,27240
11895,27170
9950,27141
12450,26262
12500,26000
14950,25228
13750,25062
12695,24723
14990,24650
12750,24553
14350,24475
12950,24444
11500,24011
11950,24000
13450,23616
12900,22865
10500,22780
10950,21904
11950,21651
11450,21500
13250,21027
10250,18500
13995,18000
11950,17051
13250,16512
12950,16325
11750,16000
11500,12000
13500,10000
6500,216000
6400,198167
7000,176000
7750,174139
8900,174000
8500,150000
8950,149329
9900,146736
10250,143513
9250,142130
7750,140700
9450,138394
7750,137000
8250,135258
9950,131364
4450,129155
9950,126110
9000,119742
9950,117913
12450,117430
10500,117175
10750,115558
8950,115113
10500,115046
5150,113997
10950,107859
9450,104805
9950,103454
10950,103018
11900,102352
9950,102030
11950,101352
7900,99865
10950,99323
8950,98100
11950,98040
10900,97600
9950,97234
9950,96135
10950,96100
8950,94401
8950,94122
10500,91340
8950,90200
9250,90097
11500,89049
9750,89000
9950,87274
11450,86221
12500,84598
10500,83567
12950,83106
12200,82805
10950,82735
10950,81905
11290,80320
10750,80090
10895,79800
11500,78785
9750,78600
10250,77780
12500,77648
11950,77270
10750,76167
11450,75249
11950,75231
11750,75045
10950,74849
11950,74715
10995,74656
11450,74500
8900,74494
10500,73634
11750,73403
11450,73175
12000,73000
11950,72242
9850,72000
10950,71725
10950,71276
8695,70440
10990,70239
9500,69813
11950,69659
10750,69574
8750,69000
8750,68565
11450,68520
9950,68414
11950,66777
13950,66527
11250,66063
10900,65471
9750,65400
9950,65170
11950,65000
10450,64193
8950,64000
10250,63792
9930,63635
10500,63135
11950,63123
11500,63000
11500,63000
11450,62987
9900,62751
9500,62519
10500,62280
10750,61672
8950,61000
12000,61000
9940,60558
10950,60348
10750,60239
9799,59000
11750,58761
11950,58745
11250,58596
11750,58530
10950,58377
