source_a,source_b,source_r,Freq,last_update_days_ago,Web order,Spending
0,1,0,2,183,1,128
0,0,0,2,194,0,127
1,0,0,1,161,0,174
0,0,0,1,73,0,192
0,0,1,2,147,1,386
0,0,0,2,73,0,174
0,0,0,1,123,1,189
0,0,0,1,165,0,90
0,0,0,2,147,1,352
0,0,1,9,43,1,639
0,0,0,2,89,0,41
1,0,0,8,5,1,1030
0,0,0,5,93,0,362
0,0,0,1,111,0,95
0,0,0,3,92,1,80
0,0,0,1,186,0,298
0,0,1,1,143,1,161
0,0,0,1,143,0,129
1,0,0,2,185,1,98
0,1,0,2,148,1,132
0,0,0,2,42,1,158
0,0,0,2,23,1,248
0,0,0,1,63,1,277
0,0,0,1,127,1,230
0,0,0,3,41,1,287
0,0,0,1,140,1,405
0,0,0,6,56,1,404
0,0,0,1,120,0,114
1,0,0,1,58,0,205
0,0,0,2,39,1,206
0,0,0,5,31,0,356
0,1,0,1,150,0,129
0,0,0,1,55,0,21
1,0,0,5,113,0,605
0,0,0,1,57,1,164
1,0,0,2,121,0,130
1,0,0,1,115,0,161
0,0,1,2,51,1,451
1,0,0,2,154,1,163
0,0,0,1,132,1,140
0,0,0,2,177,0,129
0,0,0,2,48,0,43
0,0,0,1,18,1,249
0,0,0,1,95,1,77
0,0,0,3,117,0,219
1,0,0,2,189,1,149
0,0,0,2,179,1,140
0,0,0,3,84,0,108
0,0,0,1,95,1,50
0,0,0,1,120,1,54
1,0,0,1,147,0,80
0,0,1,1,29,0,412
0,0,0,1,164,1,153
0,0,0,1,78,1,32
1,0,0,2,120,1,187
0,0,0,1,45,0,80
0,0,0,2,79,1,277
0,0,0,4,26,1,268
0,0,0,2,110,0,164
0,0,0,2,29,1,69
0,0,0,1,104,1,130
0,0,0,1,127,0,174
1,0,0,3,110,0,36
1,0,0,1,150,1,184
0,0,0,1,85,0,110
0,0,0,2,140,1,130
0,0,0,1,97,1,130
0,0,0,1,39,0,80
0,0,0,2,110,0,161
1,0,0,2,104,1,35
0,0,0,1,48,0,141
0,0,0,1,3,1,99
0,0,0,1,148,0,130
0,0,0,2,94,1,210
0,0,0,2,108,0,107
0,0,0,1,84,0,85
0,0,0,2,15,1,303
0,1,0,4,57,1,271
0,0,0,1,68,0,1250
0,0,0,2,60,0,81
0,0,0,1,203,0,32
0,0,0,4,94,0,164
0,0,0,2,89,1,95
0,0,0,4,56,0,280
0,0,1,2,95,0,166
0,0,0,1,58,1,164
0,0,0,1,124,0,136
0,0,0,2,57,0,309
0,0,0,2,145,1,143
0,0,0,1,130,1,130
0,0,0,3,14,0,405
0,0,0,1,151,1,153
0,0,0,2,59,0,44
0,0,0,1,138,1,124
0,0,0,1,85,0,90
0,0,0,1,83,0,165
0,0,0,1,140,1,170
0,0,0,1,65,0,112
0,0,0,1,81,0,165
0,0,0,1,98,1,255
0,0,0,1,115,1,60
0,0,0,4,26,1,427
0,0,0,1,20,0,188
0,0,0,3,170,1,192
1,0,0,2,174,0,189
0,0,0,2,79,1,3
0,0,0,1,138,1,161
0,0,0,2,46,1,43
0,0,0,1,93,0,30
0,0,0,2,15,0,164
0,0,0,3,57,0,314
0,0,0,3,101,1,1353
0,0,0,1,157,1,10
0,1,0,1,162,0,132
0,0,0,3,110,0,99
0,0,0,1,126,1,35
0,0,0,2,164,1,128
0,0,1,3,24,0,459
0,0,0,2,104,0,105
0,0,0,1,164,1,153
1,0,0,3,179,0,205
0,0,0,1,120,0,114
0,0,0,1,45,1,141
0,0,0,2,75,1,40
0,0,1,2,137,1,86
0,0,0,2,12,0,324
0,0,0,4,56,0,274
1,0,0,3,57,0,287
0,0,0,1,156,1,103
0,0,0,2,11,1,134
0,0,0,2,57,0,252
0,0,0,1,81,0,43
1,0,0,3,78,1,344
0,0,0,1,112,0,54
0,0,0,1,95,0,85
0,0,0,1,139,1,135
0,0,0,2,63,0,44
0,0,0,2,180,1,116
1,0,0,2,56,1,172
0,0,0,3,79,1,104
0,0,0,1,149,0,70
0,0,0,2,23,1,271
1,0,0,1,150,1,184
1,0,0,1,105,1,161
1,0,0,1,150,1,34
0,0,0,3,15,0,1249
0,0,0,1,6,1,308
0,0,0,4,83,1,192
0,0,0,2,99,0,43
0,0,0,5,12,0,588
1,0,0,4,124,1,160
1,0,0,2,141,0,183
0,0,0,3,103,0,200
0,0,1,2,137,1,182
1,0,0,1,151,1,129
0,0,0,2,186,0,98
0,0,0,2,69,0,63
0,0,0,1,10,1,264
0,0,1,1,90,1,167
0,0,0,1,130,1,6
0,0,0,1,1,1,94
0,0,0,2,100,1,243
0,0,0,1,151,1,96
0,0,0,5,26,1,585
0,0,1,2,107,0,174
0,0,0,1,30,1,240
0,0,0,1,58,1,40
0,0,0,2,100,1,117
0,1,0,3,144,1,122
0,0,0,1,90,0,230
0,0,0,1,29,1,331
0,0,0,2,82,1,130
0,0,0,1,128,0,130
1,0,0,2,169,1,128
1,0,0,3,57,1,406
0,0,0,2,182,0,129
0,0,0,3,13,0,135
1,0,0,2,196,0,581
0,0,0,2,176,0,53
0,0,0,2,93,0,35
0,0,0,1,113,1,91
0,0,0,1,122,1,35
1,0,0,1,160,1,159
1,0,0,1,139,1,130
0,0,0,1,148,0,136
1,0,0,12,26,1,1195
0,0,0,1,75,0,57
0,0,0,1,36,1,30
0,0,0,3,187,0,98
0,0,0,2,161,1,34
0,0,0,1,78,0,277
0,0,0,2,169,1,98
1,0,0,1,158,0,34
0,0,0,2,25,1,276
0,0,0,1,124,1,163
0,0,0,1,51,0,197
1,0,0,4,140,1,239
1,0,0,1,152,1,30
0,0,0,2,136,0,161
0,0,0,1,35,1,160
0,0,1,1,84,1,129
0,0,0,3,62,0,202
0,0,0,1,194,1,97
1,0,0,1,147,0,285
0,0,0,2,123,1,188
0,0,0,2,78,0,160
1,0,0,2,23,1,260
1,0,0,1,202,0,65
1,0,0,2,56,1,193
0,0,0,2,75,1,344
0,0,0,3,72,1,192
0,0,0,2,81,0,169
1,0,0,3,57,0,274
0,0,0,3,179,0,100
1,0,0,4,28,1,410
0,0,0,1,208,1,33
0,1,0,2,172,0,98
