source_a,source_b,source_r,Freq,last_update_days_ago,Web order,Spending
0,1,0,3,148,1,136
0,0,0,3,145,0,261
0,0,0,1,45,1,43
0,0,0,6,70,0,389
1,0,0,4,24,1,394
0,0,0,6,74,0,588
1,0,0,1,156,1,160
0,0,0,2,27,1,50
1,0,0,1,125,0,233
0,0,0,1,105,1,54
0,0,0,1,56,0,164
0,0,0,1,145,0,160
0,0,0,1,186,0,305
1,0,0,3,190,1,534
1,0,0,1,200,1,105
0,0,0,1,57,1,79
0,0,0,2,76,0,186
0,0,1,1,33,0,324
1,0,0,1,208,1,69
0,0,0,2,172,1,225
0,0,0,1,93,0,167
0,0,0,1,65,1,67
1,0,0,1,194,0,67
0,0,0,1,148,0,120
1,0,0,4,56,1,420
0,0,0,1,132,1,130
0,0,0,3,62,1,141
0,0,0,1,148,1,129
0,0,0,3,62,1,432
1,0,0,3,101,0,547
0,0,0,1,8,1,163
1,0,0,3,183,0,310
0,0,0,2,29,1,326
0,0,0,1,197,1,68
0,0,0,1,148,0,129
1,0,0,1,80,1,40
0,0,1,1,134,0,30
0,0,1,4,99,0,130
0,0,0,1,78,1,32
0,0,0,2,93,0,243
0,0,0,2,136,1,237
0,0,0,3,123,1,145
0,0,0,3,101,1,437
0,0,0,2,104,1,35
0,0,0,1,3,1,25
0,0,0,1,96,0,62
0,0,0,2,52,0,278
0,0,0,3,10,1,363
0,0,1,1,9,1,1075
0,0,0,1,162,1,128
0,0,0,1,194,1,33
0,0,0,1,128,1,35
0,0,0,1,135,0,130
1,0,0,1,117,1,161
0,0,0,2,147,1,54
0,0,0,1,15,1,163
0,0,0,2,57,0,208
1,0,0,1,151,0,80
1,0,0,1,132,1,130
0,0,0,2,88,1,167
0,0,0,1,41,1,172
0,0,0,6,40,1,1294
0,0,0,1,5,1,129
0,0,0,2,100,0,163
0,0,0,3,54,0,135
0,0,0,1,0,0,129
1,0,0,2,56,1,200
0,0,0,2,190,1,88
1,0,0,1,100,0,261
1,0,0,1,105,1,161
0,0,0,4,105,0,204
0,0,0,2,26,1,212
0,0,1,2,110,0,30
0,1,0,3,124,1,619
0,0,0,1,120,0,114
0,0,0,2,56,0,248
0,0,0,4,25,1,139
0,0,0,1,148,1,96
