Admission,Gender,Major
Rejected,Female,C
Rejected,Female,F
Rejected,Male,D
Rejected,Male,D
Rejected,Female,E
Admitted,Male,B
Admitted,Female,C
Admitted,Male,C
Rejected,Male,F
Rejected,Female,D
Admitted,Female,A
Rejected,Male,C
Rejected,Male,A
Rejected,Male,B
Admitted,Female,A
Admitted,Female,D
Rejected,Male,A
Rejected,Female,F
Admitted,Male,A
Rejected,Female,D
Admitted,Female,E
Rejected,Female,C
Admitted,Female,A
Rejected,Male,E
Rejected,Female,F
Admitted,Male,A
Rejected,Female,C
Rejected,Female,C
Rejected,Male,B
Rejected,Male,A
Admitted,Female,C
Rejected,Female,D
Rejected,Male,B
Admitted,Female,D
Rejected,Male,A
Admitted,Male,B
Rejected,Male,B
Rejected,Female,C
Rejected,Female,E
Rejected,Male,F
Rejected,Female,F
Rejected,Male,D
Admitted,Female,A
Admitted,Male,B
Admitted,Male,A
Admitted,Male,B
Rejected,Male,E
Admitted,Male,A
Rejected,Female,C
Rejected,Female,C
Rejected,Male,A
Rejected,Male,C
Rejected,Female,D
Admitted,Male,D
Admitted,Male,C
Rejected,Male,C
Admitted,Male,A
Admitted,Male,A
Admitted,Male,C
Rejected,Male,D
Rejected,Female,C
Rejected,Male,D
Rejected,Female,E
Rejected,Female,F
Rejected,Female,F
Rejected,Female,C
Rejected,Female,F
Admitted,Male,A
Rejected,Female,D
Admitted,Male,A
Rejected,Male,E
Rejected,Male,F
Admitted,Male,C
Rejected,Female,E
Rejected,Male,F
Rejected,Female,C
Rejected,Male,F
Admitted,Male,A
Rejected,Female,F
Rejected,Male,E
Rejected,Female,D
Rejected,Female,C
Rejected,Female,F
Admitted,Male,A
Admitted,Male,A
Rejected,Female,C
Admitted,Female,A
Admitted,Male,A
Rejected,Male,F
Rejected,Male,E
Rejected,Male,D
Rejected,Female,E
Admitted,Female,C
Admitted,Male,A
Rejected,Male,F
Admitted,Female,C
Rejected,Male,C
Admitted,Male,B
Rejected,Male,F
Admitted,Female,D
Rejected,Male,F
Rejected,Male,C
Admitted,Female,C
Admitted,Male,A
Admitted,Male,A
Admitted,Male,B
Rejected,Male,A
Admitted,Female,A
Admitted,Male,D
Admitted,Male,A
Admitted,Female,E
Admitted,Male,A
Rejected,Female,E
Rejected,Male,D
Rejected,Female,E
Admitted,Male,A
Rejected,Female,E
Admitted,Female,C
Rejected,Female,F
Rejected,Female,F
Rejected,Female,F
Rejected,Female,F
Rejected,Male,E
Admitted,Male,B
Admitted,Female,C
Rejected,Female,F
Rejected,Female,F
Rejected,Female,C
Rejected,Male,A
Rejected,Male,F
Admitted,Female,C
Admitted,Male,A
Admitted,Female,D
Rejected,Male,E
Rejected,Female,F
Admitted,Female,A
Rejected,Female,D
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Male,A
Rejected,Female,F
Admitted,Male,A
Rejected,Female,F
Rejected,Male,E
Admitted,Male,A
Rejected,Female,E
Admitted,Male,A
Admitted,Male,A
Rejected,Female,C
Rejected,Female,D
Admitted,Male,A
Admitted,Male,A
Rejected,Male,A
Rejected,Female,D
Admitted,Male,A
Admitted,Female,C
Admitted,Male,E
Rejected,Female,C
Rejected,Female,C
Rejected,Male,C
Rejected,Male,F
Rejected,Female,E
Rejected,Male,A
Rejected,Female,C
Rejected,Male,A
Admitted,Female,C
Rejected,Male,C
Rejected,Male,B
Admitted,Female,C
Rejected,Male,F
Admitted,Male,A
Rejected,Male,A
Admitted,Male,B
Admitted,Female,B
Rejected,Female,E
Admitted,Male,A
Admitted,Male,A
Admitted,Female,F
Admitted,Male,A
Rejected,Male,D
Rejected,Male,F
Rejected,Male,D
Rejected,Male,A
Rejected,Male,C
Admitted,Male,A
Rejected,Female,C
Rejected,Female,E
Rejected,Male,A
Rejected,Female,D
Admitted,Male,D
Admitted,Male,A
Admitted,Male,A
Rejected,Male,E
Admitted,Male,B
Rejected,Male,E
Rejected,Male,C
Admitted,Male,A
Admitted,Female,B
Rejected,Female,C
Rejected,Male,F
Rejected,Male,F
Rejected,Female,D
Rejected,Male,F
Rejected,Male,A
Rejected,Female,C
Rejected,Female,E
Admitted,Male,B
Rejected,Female,E
Rejected,Female,F
Admitted,Male,A
Admitted,Male,A
Rejected,Male,C
Admitted,Female,D
Admitted,Female,F
Admitted,Male,A
Rejected,Female,C
Rejected,Male,F
Rejected,Female,E
Rejected,Female,C
Rejected,Female,D
Admitted,Female,D
Admitted,Male,A
Admitted,Male,A
Rejected,Male,A
Rejected,Female,C
Rejected,Female,C
Rejected,Female,D
Rejected,Female,E
Rejected,Male,C
Admitted,Female,A
Rejected,Male,F
Admitted,Male,B
Admitted,Female,D
Rejected,Male,B
Admitted,Male,A
Rejected,Female,D
Admitted,Male,B
Rejected,Female,C
Admitted,Female,E
Admitted,Female,F
Rejected,Male,F
Admitted,Female,D
Admitted,Male,A
Admitted,Male,E
Rejected,Male,A
Rejected,Female,F
Rejected,Female,C
Admitted,Male,F
Admitted,Male,C
Rejected,Male,E
Rejected,Male,C
Admitted,Female,C
Admitted,Male,B
Admitted,Male,E
Admitted,Female,E
Rejected,Male,F
Rejected,Male,F
Rejected,Male,A
Rejected,Male,C
Rejected,Female,C
Rejected,Female,E
Rejected,Female,E
Rejected,Male,E
Rejected,Female,E
Rejected,Male,D
Rejected,Female,C
Rejected,Female,C
Rejected,Male,C
Rejected,Male,C
Rejected,Male,E
Admitted,Male,A
Admitted,Male,B
Rejected,Female,C
Rejected,Male,C
Rejected,Male,B
Rejected,Female,C
Admitted,Male,C
Rejected,Male,F
Admitted,Male,B
Rejected,Female,F
Rejected,Female,C
Admitted,Female,D
Rejected,Female,F
Admitted,Male,E
Rejected,Male,D
Rejected,Female,D
Admitted,Male,A
Rejected,Male,B
Rejected,Female,C
Rejected,Female,F
Rejected,Female,D
Rejected,Male,C
Admitted,Male,A
Rejected,Male,F
Admitted,Male,B
Rejected,Male,F
Rejected,Female,C
Admitted,Female,C
Rejected,Male,A
Rejected,Female,C
Rejected,Male,F
Admitted,Male,D
Rejected,Male,D
Rejected,Female,E
Rejected,Male,B
Rejected,Female,D
Admitted,Male,A
Admitted,Female,D
Rejected,Female,E
Admitted,Male,B
Rejected,Female,C
Rejected,Male,D
Admitted,Male,B
Admitted,Male,A
Rejected,Female,C
Admitted,Male,D
Rejected,Female,E
Rejected,Male,B
Admitted,Female,E
Admitted,Male,A
Rejected,Male,A
Admitted,Male,D
Admitted,Female,E
Rejected,Female,E
Rejected,Male,F
Rejected,Female,E
Admitted,Female,C
Rejected,Male,A
Rejected,Male,D
Rejected,Female,F
Rejected,Female,D
Admitted,Male,C
Admitted,Male,D
